"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UBG983RQ","computerProgram","2022","Goutsmedt, Aurélien; Truc, Alexandre","networkflow: Functions For A Workflow To Manipulate Networks","","","","","https://zenodo.org/records/10458040","The goal of networkflow (a workflow for networks) is to propose a series of functions to make it easier and quicker to manipulats networks. It mainly targets working on bibliometric networks (see the biblionetwork package for creating such networks). This package heavily relies on igraph and tidygraph, and aims at producing ready-made networks for projecting them using ggraph. This package aims at helping the users to follow more quickly and easily the main steps of network manipulation, from creating the graph, through detecting clusters, to projecting it.","2022","2022-12-07 21:24:03","2024-03-23 15:43:24","","","","","","","","","","","","","","","","","","","","","","https://agoutsmedt.github.io/networkflow/","","","","packages; long-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R","In development","","","","","","","",""
"WXY3NB32","journalArticle","2019","Goutsmedt, Aurélien; Pinzón-Fuchs, Erich; Renault, Matthieu; Sergi, Francesco","Reacting to the Lucas Critique: The Keynesians' Pragmatic Replies","History of Political Economy","","","https://read.dukeupress.edu/hope/article-abstract/51/3/535/137809/Reacting-to-the-Lucas-CritiqueThe-Keynesians?redirectedFrom=fulltext","","In 1976, Robert Lucas explicitly criticized Keynesian macroeconometric models for their inability to correctly predict the effects of alternative economic policies. Today, most contemporary macroeconomists and some historians of economics consider that Lucas’s critique led forcefully to an immediate disqualification of the Keynesian macroeconometric approach. This narrative is based on the interpretation of the Lucas critique as a fundamental principle for economic reasoning that was (and still is) logically unquestionable. We consider that this narrative is problematic both in terms of historiography and the effects that it can have in the field as a way of assigning importance and credit to particular macroeconomists. Indeed, the point of view of the Keynesian economists is missing despite the fact that they were the target of Lucas’s paper and that throughout the 1970s and 1980s they produced a fierce reaction against it. In this article we analyze the reactions by a broad set of authors (which we label “Keynesians”) that disputed the relevance of the critique. In spite of their diversity in methodological, theoretical, and policy issues, these reactions were characterized by their common questioning of the empirical and practical relevance of the Lucas critique.","2019","2019-02-22 14:49:34","2024-03-23 15:41:17","","533-556","","3","51","","","Reacting to the Lucas Critique","","","","","","","","","","","","","","https://aurelien-goutsmedt.com/media/pdf/lucas-critique.pdf","","/home/agoutsmedt/Zotero/storage/W8BUMM8H/Goutsmedt et al. - 2019 - Reacting to the Lucas Critique The Keynesians' Pr.pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52Q6JDA4","journalArticle","2019","Goutsmedt, Aurélien; Guizzo, Danielle; Sergi, Francesco","An agenda without a plan. Robert E. Lucas’s trajectory through the public debate","OEconomia - History, Methodology, Philosophy","","","https://journals.openedition.org/oeconomia/5605","https://journals.openedition.org/oeconomia/5605","This article explores Robert E. Lucas’s policy agenda and his engagement with the public debate between the 1970s and early 1980s. It investigates how he interacted with the public debate by envisioning key principles of his macroeconomic theory and methodology, and how he promoted his policy agenda. An exploration of Lucas’s personal and professional archives sheds light on his participation in policy debates after the publication of his works, illustrating how Lucas built a discreet and cautious way of engaging with the public. Lucas did not propose a detailed program to implement his policy agenda, nor was he actively promoting his policy agenda. The article suggests that Lucas’s originality compared to his contemporaries was his belief on the ability of macroeconomics to scientifically devise binding policy rules that could be integrated in an economic constitution.","2019","2020-12-09 08:09:59","2024-03-23 15:40:59","","289–314","","2","9","","","","","","","","","","","","","","","","","https://aurelien-goutsmedt.com/media/pdf/lucas-agenda.pdf","","/home/agoutsmedt/Zotero/storage/B2GIZR2B/Goutsmedt et al. - 2019 - An agenda without a plan. Robert E. Lucas’s trajec.pdf; /home/agoutsmedt/Zotero/storage/4F5MRFHZ/Goutsmedt et al. - An agenda without a plan Robert E Lucas's traject.pdf; /home/agoutsmedt/Zotero/storage/C8KD5GQP/Lucas_OEconomia Final Version.pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RSQP47S","journalArticle","2021","Goutsmedt, Aurélien","From the Stagflation to the Great Inflation: Explaining the US economy of the 1970s","Revue d'Economie Politique","","","https://www.cairn.info/revue-d-economie-politique-2021-3-page-557.htm?ref=doi","","This article proposes a history of the evolution of macroeconomists’ explanations of the 1970s US stagflation, from 1975 to 2013. Using qualitative and quantitative methods, 1) I observe the different types of explanations coexisting at different periods; 2) I assess which was the dominant type of explanations for each period; and 3) I identify the main sources of influence for the different types of explanations. In the late 1970s and early 1980s, supply-shocks and inflation inertia were fundamental concepts to explain stagflation. The interest for this topic progressively vanished after 1985. In the 1990s, it was a totally new literature that emerged almost without any reference to past explanations. This literature focused on the role played by monetary policy in the late 1960s and the 1970s to account for the rise of inflation. New Classical economists’ contributions, like Lucas [1976] or Kydland and Prescott [1977], which were ignored by stagflation explanations in the 1970s/1980s, became major references to account for the 1970s stagflation in the 1990s.","2021","2021-01-26 13:31:23","2024-03-23 15:40:43","","557-582","","3","131","","","","","","","","","","","","","","","","","https://aurelien-goutsmedt.com/media/pdf/stagflation-great-inflation.pdf","","/home/agoutsmedt/Zotero/storage/BBCH4ZLI/Goutsmedt - 2021 - From the Stagflation to the Great Inflation Expla.pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX358W9K","journalArticle","2018","Goutsmedt, Aurélien; Rubin, Goulven","Robert J. Gordon and the introduction of the natural rate hypothesis in the Keynesian framework","History of Economic Ideas","","","https://www.torrossa.com/fr/resources/an/4461050?digital=true","","This article studies the dissemination of the Natural Rate of Unemployment Hypothesis (NRH) in macroeconomics during the 1970s, by studying the reaction of Robert J. Gordon to the argument of Friedman (1968). In the early 1970s, Gordon opposed the NRH, arguing that the estimated parameter on expected inflation was below one. Confronting to new data and to rising inflation, Gordon adopted the NRH after 1973. Nevertheless, the adoption anticipated any clear empirical proof. We explain that this conversion was due to Friedman’s influence on Gordon, but also to the fact it did not prevent Gordon to support active stabilization policies.","2018","2020-12-09 08:10:01","2024-03-23 15:37:31","","157–187","","3","26","","","","","","","","","","","","","","","","","https://dial.uclouvain.be/pr/boreal/object/boreal:270867","","","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3EAQXT9","journalArticle","2018","Goutsmedt, Aurélien","Thomas Sargent face à Robert Lucas : une autre ambition pour la Nouvelle Economie Classique","OEconomia - History, Methodology, Philosophy","","","https://journals.openedition.org/oeconomia/5605","","This article explores Robert E. Lucas’s policy agenda and his engagement with the public debate between the 1970s and early 1980s. It investigates how he interacted with the public debate by envisioning key principles of his macroeconomic theory and methodology, and how he promoted his policy agenda. An exploration of Lucas’s personal and professional archives sheds light on his participation in policy debates after the publication of his works, illustrating how Lucas built a discreet and cautious way of engaging with the public. Lucas did not propose a detailed program to implement his policy agenda, nor was he actively promoting his policy agenda. The article suggests that Lucas’s originality compared to his contemporaries was his belief on the ability of macroeconomics to scientifically devise binding policy rules that could be integrated in an economic constitution.","2018","2017-04-02 09:37:46","2024-03-23 15:33:14","","211-241","","2","8","","","Thomas Sargent face à Robert Lucas","","","","","","","fr","","","","","","","https://aurelien-goutsmedt.com/media/pdf/sargent-vs-lucas.pdf","","/home/agoutsmedt/Zotero/storage/WX834DPI/Goutsmedt - 2018 - Thomas Sargent face à Robert Lucas  une autre amb.pdf","","#nosource; published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I97GPBVG","journalArticle","2022","Goutsmedt, Aurélien","How the Phillips Curve Shaped Full Employment Policy in the 1970s: the Debates on the Humphrey-Hawkins Act","History of Political Economy","","","https://read.dukeupress.edu/hope/article-abstract/54/4/619/300514/How-the-Phillips-Curve-Shaped-Full-Employment?redirectedFrom=fulltext","","This article relates the history of economists' influence in shaping the content of the Humphrey-Hawkins Act (1978) and its immediate consequences. The act committed the federal government to reducing unemployment to 4 percent and inflation to 3 percent as soon as 1983. Initially, the Humphrey-Hawkins bill was conceived as a project to favor the economic integration of African Americans and economic planning and targeted only the unemployment rate. Republican senators successfully pushed for adding a numerical inflation target during the debates in Congress. The act eventually put on equal footing inflation and unemployment. This article argues that the economists in the Carter administration, and notably the Council of Economic Advisers, were instrumental, even if unintentionally, in favoring the integration of an inflation target and such an interpretation of the bill. In the negotiations that opposed them to the supporters of the bill, as well as in the analysis of the bill they produced, they insisted on the existence of a trade-off between inflation and unemployment and referred frequently to the famous Phillips curve. They endeavored to anchor their expertise on academic publications, which strengthened the role of the Phillips curve in shaping the debates. Business organizations and senators used references to the trade-off to undermine the bill and favor the integration of an inflation target.","2022","2021-02-23 15:12:14","2024-03-23 15:32:50","","619-653","","2","54","","","","","","","","","","","","","","","","","https://aurelien-goutsmedt.com/media/pdf/humphrey-hawkins.pdf","","/home/agoutsmedt/Zotero/storage/AJBYYDMP/Goutsmedt - 2022 - How the Phillips Curve Shaped Full Employment Poli.pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EP7QWVME","journalArticle","2023","Goutsmedt, Aurélien; Claveau, François; Herfeld, Catherine","Quantitative and Computational Approaches in the Social Studies of Economics","OEconomia - History, Methodology, Philosophy","","","https://journals.openedition.org/oeconomia/15799","https://journals.openedition.org/oeconomia/15799","This special issue presents a diverse set of scholarly contributions that apply quantitative and computational methods to questions that fall within the broad scope of the social studies of economics. The main aim of putting the contributions together is to showcase these methods and their potential to help generate novel insights and new accounts about economics as a scientific discipline embedded in a social context, about its evolution over time, and about its role in policymaking. The special issue contains ten contributions that apply a variety of methods, illustrate different ways in which they can be put to use, and offer an overview of the kinds of data they help analyze.","2023","2022-12-09 12:06:55","2024-03-23 14:21:03","","147-161","","2","13","","","","","","","","","","","","","","","","","https://hal.science/hal-04250536","","","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMPSLSP9","book","2025","Sergi, Francesco; Cherrier, Béatrice; Saidi, Aurélien; Duarte, Pedro Garcia; Goutsmedt, Aurélien; Renault, Matthieu; Acosta, Juan Carlos","The History of Macroeconomics: A Historian’s View","","","","","","","2025","2024-10-30 12:49:23","2025-10-29 15:14:32","","","","","Under contract; Forthcoming 2026","","","","","","","","Cambridge University Press, Cambridge Elements","Cambridge (UK)","","","","","","","","","","","","long-cv; ongoing-pub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZ9PLU3C","book","2025","Goutsmedt, Aurélien; Acosta, Juan Carlos; Sergi, Francesco","Economists, Economic Knowledge, and Central Banks","","","","","https://osf.io/preprints/socarxiv/acymv_v1","We propose a history of the evolution of the relationship between economists, economic knowledge, and central banks since the 1920s. Central banks have become pivotal in economic management, focusing on tasks such as promoting price stability, curbing unemployment, and managing financial crises. Central banks operate independently to insulate monetary policy from political debates, and their autonomy is justified by their expertise. The text explores the close ties between central banks and academia, highlighting the growing influence of economists within central banks and their role in shaping economic policies. Our contribution is divided into four parts. The first part introduces fundamental concepts related to the use of economic expertise and the ""scientization"" of central banks. It explores various research frameworks to understand the influence of economists within central banks. The second part covers the period from 1920 to 1970 when economists within central banks faced competition from experts with banking and financial backgrounds. Economists gained prominence through the hiring of renowned academic figures, and economic divisions were established for data collection and forecasting, setting the stage for their future significance. The third part discusses debates from the late 1970s to the mid-1990s, marked by the stagflation of the 1970s. Economists criticized central bank policies, leading to increased scrutiny. Central banks adopted inflation targeting, transforming into independent institutions primarily focused on monetary policy. New concepts emerged through collaboration between central bankers and academic macroeconomists. The fourth part explores the ""scientization"" of central banks post-1990s. Central banks became leading producers of economic knowledge, with the rise of Dynamic Stochastic General Equilibrium (DSGE) models. However, the 2007-2008 financial crisis raised questions about the relevance of these models, leading to a shift towards pluralist research programs and alternative perspectives. This shift poses new challenges for the role of economists within central banks, despite their firmly established centrality. The text provides a synthesis of existing research on this area and suggests avenues for future investigation.","2025","2023-05-24 16:35:02","2025-10-29 14:44:37","","","","","Under contract, Forthcoming 2026","","","","","","","","Cambridge University Press, Cambridge Elements","Cambridge (UK)","","","","","","","","https://osf.io/preprints/socarxiv/acymv_v1","","","","long-cv; ongoing-pub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SXEA435C","journalArticle","2023","Goutsmedt, Aurélien; Truc, Alexandre","An Independent European Macroeconomics? A History of European Macroeconomics through the Lens of the European Economic Review","European Economic Review","","","https://doi.org/10.1016/j.euroecorev.2023.104559","https://www.sciencedirect.com/science/article/pii/S0014292123001873","Economics in Europe has become more international since the 1970s. To a certain extent, this internationalisation is also an ‘Americanisation’ as many European economists have adopted the standards and approaches of US economics. This prompts an important question: amidst this convergence, are there any fields that have managed to retain a distinctively European character? In this article, we use topic modelling and bibliometric coupling to identify European specialties between 1969 and 2002. We focus on macroeconomic articles published in the European Economic Review and compare their bibliographic references and textual content to what has been published in the top 5 journals. Despite economics internationalization since the 1970s, European macroeconomics displayed distinct characteristics across two distinct periods. In the late 1970s and early 1980s, European macroeconomists maintained a certain distance from US debates centred around rational expectations and new classical economics. However, they embraced the concept of microfoundations through the lens of disequilibrium theory, fostering transnational collaborations and offering a unique framework for addressing various macroeconomic issues. Nevertheless, both the prominence of new classical economics in the US and the decline of the disequilibrium approach after the mid-1980s, European macroeconomics shifted towards closer alignment with US approaches. In the 1990s, Political economy, inspired by pioneering US contributions like Kydland and Prescott (1977) and Barro and Gordon (1983a,b), emerged in the 1990s as a new framework offering a common language for many European macroeconomists. However, specific European challenges like high unemployment rates and European integration continued to drive research in distinctive directions.","2023","2022-09-27 20:03:17","2024-10-16 08:59:46","","104559","","","158","","","","","","","","","","","","","","","","","https://hal.science/hal-04181833","","/home/agoutsmedt/Zotero/storage/CHH35DMH/Goutsmedt and Truc - 2023 - An Independent European Macroeconomics A History of European Macroeconomics through the Lens of the.pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72RZJLXN","journalArticle","2024","Goutsmedt, Aurélien; Fontan, Clément","The ECB and the inflation monsters: strategic framing and the responsibility imperative (1998-2023)","Journal of European Public Policy","","","https://doi.org/10.1080/13501763.2023.2281583","","The recent resurgence of inflation in Europe has led the ECB to increase interest rates and phase out asset purchase programmes designed to address the effects of the Great Financial Crisis. This article investigates how the ECB has adjusted its logic of responsibility throughout this series of crises. Using a topic model and in-depth analysis of speeches, we examine the ECB’s strategic framing of linkages related to inflation during three historical periods: the Central Bank Independence (CBI) era (1998–2011), the secular stagnation era (2011–2021), and the new inflation era (2021-). Our findings indicate that modifications made to the CBI’s linkages during the secular stagnation era shaped the ECB’s framing of the new inflation era in a novel way. However, despite acknowledging difficult policy tradeoffs, which they used to downplay in the past, ECB policymakers have continued to reframe its initial imperative of responsibility in the hope of avoiding policy discussions on regime change.","2024","2022-08-02 14:58:42","2024-09-30 13:54:47","","999-1025","","4","31","","","","","","","","","","","","","","","","","https://hal.science/hal-04181849","","/home/agoutsmedt/Zotero/storage/BZ5HXN2Q/Goutsmedt_Fontan_2023_The ECB and the inflation monsters.pdf; /home/agoutsmedt/Zotero/storage/W7YESMYJ/The ECB and the inflation monsters strategic framing and the responsibility imperative 1998 2023 .pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7BLAV3B","journalArticle","2025","Goutsmedt, Aurélien; Sergi, Francesco; Cherrier, Béatrice; Claveau, François; Fontan, Clément; Acosta, Juan","To Change or Not to Change: The Evolution of Forecasting Models at the Bank of England","Journal of Economic Methodology","","","https://doi.org/10.1080/1350178X.2024.2303113","https://doi.org/10.1080/1350178X.2024.2303113","Why do policymakers and economists within a policymaking institution choose to throw away a model and to develop an alternative one? Why do they choose to stick to an existing model? This article contributes to the literature on the history and philosophy of modelling by answering these questions. It delves into the dynamics of persistence, change, and building practices of macroeconomic modelling, using the case of forecasting models at the Bank of England (1974–2014). Based on archives and interviews, we document the multiple factors at play in model building and model change. We identify three sets of factors: the agency of modellers, institutional factors, and the material factor. Our investigation shows the diversity of explanations behind the decision to change a model: each time, model replacement resulted from a different combination of the three types of factors.","2025","2022-06-28 13:51:03","2025-10-29 14:23:26","","66--86","","2","32","","","","","","","","","","","","","","","Google Scholar","","https://dial.uclouvain.be/pr/boreal/object/boreal:270921","","/home/agoutsmedt/Zotero/storage/8EV9DADV/Goutsmedt et al. - 2022 - To change or not to change.pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJNAISMB","journalArticle","2025","Chassonnery-Zaigouche, Cléo; Goutsmedt, Aurélien","Modelling intervention: Barbara Bergmann’s micro-to-macro simulation projects","European Journal for the History of Economic Thought","","","https://doi.org/10.1080/09672567.2024.2433971","https://osf.io/preprints/socarxiv/ynmbe","Over a period of twelve years, Barbara Bergmann developed several models of the labor market using microsimulation, eventually integrated in a ""Transactions Model"" of the entire US economy, built with Robert Bennett and published in 1986. The paper reconstructs the history of this modelling enterprise in the context of the debates on the microfoundations of macroeconomics and the role of macroeconomic expertise from the 1970s stagflation to the late 1980s. It shows how a political element-her focus on distributional effects of policies-was central to her criticism of macroeconomic modelling and how both her epistemic and political positions were increasingly marginalized in the 1980s.","2025","2022-12-09 12:20:41","2025-06-21 07:47:58","","342-362","","3","32","","","","","","","","","","","","","","","","","https://osf.io/preprints/socarxiv/ynmbe/","","/home/agoutsmedt/Zotero/storage/QEPL8U3Z/Chassonnery-Zaigouche_Goutsmedt_2023_Programming Expertise.pdf; /home/agoutsmedt/Zotero/storage/XE2D9AXS/Modelling intervention Barbara Bergmann s micro-to-macro simulation projects.pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
